Time,Crosshead separation,Load,Extensometer elongation
(sec),(mm),(kN),(%)
12.968,3.32216,47.08283,0.23963
13.068,3.32784,47.10694,0.2423
13.168,3.3334,47.12976,0.24497
13.268,3.3388,47.15622,0.24757
13.368,3.34416,47.1814,0.24996
13.468,3.35008,47.2204,0.25084
13.568,3.35628,47.28289,0.25368
13.668,3.3622,47.3236,0.25667
13.768,3.3678,47.34764,0.25969
13.868,3.37304,47.36423,0.26263
13.968,3.378,47.37449,0.26552
14.068,3.3828,47.3861,0.26825
14.168,3.38748,47.40077,0.27092
14.268,3.39204,47.41492,0.27358
14.368,3.39648,47.43128,0.27629
14.468,3.40084,47.44682,0.27872
14.568,3.4052,47.46299,0.28125
14.668,3.40952,47.48328,0.28374
14.768,3.4138,47.50389,0.28636
14.868,3.418,47.52109,0.28896
14.968,3.42212,47.5364,0.29151
15.068,3.42624,47.55401,0.29398
15.168,3.43028,47.57422,0.29661
15.268,3.43432,47.59278,0.29904
15.368,3.43824,47.60798,0.30162
15.468,3.44208,47.62347,0.30413
15.568,3.44596,47.63873,0.30666
15.668,3.44988,47.65789,0.30909
15.768,3.45408,47.68218,0.31096
15.868,3.45912,47.73985,0.31262
15.968,3.46388,47.78278,0.31561
16.068,3.46824,47.80496,0.31876
16.168,3.47224,47.80985,0.32165
16.268,3.47596,47.81115,0.32446
16.368,3.4794,47.80726,0.32733
16.468,3.48268,47.80361,0.33002
16.568,3.48592,47.803,0.33253
16.668,3.4892,47.80844,0.33503
16.768,3.49244,47.81445,0.33762
16.868,3.49568,47.82345,0.34003
16.968,3.49896,47.8361,0.34245
17.068,3.50228,47.85242,0.34481
17.168,3.50556,47.86999,0.34733
17.268,3.50888,47.887,0.34982
17.368,3.51224,47.90705,0.35223
17.468,3.51568,47.9266,0.35471
17.568,3.51904,47.94661,0.35738
17.668,3.52232,47.96015,0.35991
17.768,3.52556,47.973,0.36241
17.868,3.5288,47.98584,0.36494
17.968,3.53192,47.99488,0.36758
18.068,3.53496,48.0007,0.37014
18.168,3.53804,48.00888,0.37258
18.268,3.54116,48.02087,0.37499
18.368,3.54432,48.03361,0.37748
18.468,3.54748,48.04562,0.38
18.568,3.551,48.0641,0.38125
18.668,3.55508,48.11417,0.38361
18.768,3.55892,48.14593,0.38661
18.868,3.56236,48.16011,0.38964
18.968,3.56548,48.15927,0.39257
19.068,3.56836,48.15119,0.39541
19.168,3.571,48.13738,0.39819
19.268,3.57352,48.12166,0.40084
19.368,3.57604,48.11022,0.40337
19.468,3.57864,48.10708,0.40575
19.568,3.58128,48.10917,0.40826
19.668,3.58396,48.11453,0.4108
19.768,3.5866,48.11822,0.41331
19.868,3.58932,48.12379,0.41576
19.968,3.592,48.13036,0.41827
20.068,3.59468,48.1365,0.42083
20.168,3.59728,48.13852,0.42335
20.268,3.59984,48.13797,0.4259
20.368,3.60228,48.13594,0.42844
20.468,3.60472,48.13336,0.43099
20.568,3.60716,48.13263,0.43337
20.668,3.6096,48.13269,0.43578
20.768,3.61208,48.13737,0.43822
20.868,3.61456,48.13858,0.44075
20.968,3.61704,48.14102,0.44321
21.068,3.6196,48.1464,0.44569
21.168,3.62216,48.15112,0.44814
21.268,3.62464,48.15503,0.45076
21.368,3.62708,48.15212,0.45327
21.468,3.62992,48.15564,0.45439
21.568,3.63332,48.19445,0.45674
21.668,3.63644,48.21545,0.45976
21.768,3.6392,48.21789,0.46283
21.868,3.64168,48.20455,0.46586
21.968,3.64392,48.18583,0.46863
22.068,3.64604,48.16636,0.47143
22.168,3.64812,48.14928,0.47403
22.268,3.65012,48.13471,0.47657
22.368,3.65212,48.12251,0.47904
22.468,3.6542,48.11722,0.48146
22.568,3.65632,48.11571,0.48383
22.668,3.65848,48.11496,0.4862
22.768,3.66072,48.12035,0.48857
22.868,3.66292,48.12336,0.49116
22.968,3.66512,48.12518,0.49367
23.068,3.66732,48.12584,0.49614
